Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1828.0,11.0,9.0,10.0,30.0,,1.0,1.0,7.5,0.0,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,,1.0,,0.5,,,,,,1.0,,
1837.0,9.0,29.0,,,,2.0,1.0,7.3,0.0,INDONESIA,BANDA ACEH,5.5,96.0,,3.0,,0.5,,,,,,2.0,,
2007.0,8.0,2.0,2.0,37.0,42.3,4.0,1.0,6.2,0.0,RUSSIA,TATAR STRAIT,47.116,141.798,3.2,18.0,,,2.0,,,12.0,,1.0,11.0,20.0
1910.0,11.0,5.0,,,,1.0,0.0,,0.0,USA,"NOME, AK",64.0,-165.0,,2.0,,,,,,,,2.0,,
1965.0,3.0,30.0,2.0,27.0,3.4,4.0,1.0,7.6,0.0,USA,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",50.32,177.93,0.1,3.0,-2.3,-1.0,,,,,,,,
1978.0,8.0,14.0,14.0,17.0,50.4,4.0,1.0,4.4,0.0,SPAIN,CADIZ,36.37,-6.98,0.12,1.0,,1.0,,,,,,,,
1849.0,9.0,28.0,9.0,,,4.0,1.0,,0.0,RUSSIA,KAMCHATKA,55.0,166.0,,4.0,,,,,,,,1.0,,
1855.0,11.0,11.0,,,,4.0,1.0,7.0,0.0,JAPAN,TOKAIDO,35.65,139.8,,2.0,,,6757.0,,,,,4.0,50000.0,
1843.0,7.0,5.0,,,,1.0,0.0,,0.0,UK,"CORNWALL, ENGLAND",,,,0.0,,,,,,,,,,
1954.0,10.0,,,,,2.0,0.0,,0.0,GREENLAND,"APUTITEQ POINT, GREENLAND",67.47,-32.283,18.28,1.0,4.2,,,,,,,,,
1878.0,11.0,23.0,,,,2.0,0.0,,0.0,CHILE,CENTRAL CHILE,-33.0,-71.6,,1.0,,0.5,,,,,,,,
1961.0,7.0,23.0,21.0,51.0,10.5,3.0,1.0,7.3,0.0,VANUATU,VANUATU ISLANDS,-18.421,168.411,0.9,2.0,,-0.5,,,,,,1.0,,
1973.0,1.0,30.0,21.0,1.0,12.5,4.0,1.0,7.5,0.0,MEXICO,S. MEXICO,18.48,-103.0,1.13,9.0,0.1,,56.0,,,390.0,,2.0,,
1883.0,5.0,20.0,,,,1.0,0.0,,0.0,INDONESIA,"HORN ISLAND [AYER ISLAND], JAKARTA",-6.004,106.781,,0.0,,1.0,,,,,,,,
1991.0,5.0,7.0,,,,1.0,9.0,,0.0,GREECE,EAST AEGEAN SEA,37.133,26.833,0.5,1.0,-3.3,,,,,,,,,
1858.0,8.0,6.0,,,,-1.0,9.0,,0.0,NEW ZEALAND,,,,,0.0,,,,,,,,,,
1962.0,4.0,23.0,5.0,58.0,0.0,4.0,1.0,7.0,0.0,JAPAN,SE. HOKKAIDO ISLAND,42.2,143.9,0.1,10.0,-3.3,-3.5,,,,,,,,
1892.0,8.0,,,,,2.0,0.0,,0.0,VANUATU,ESPIRITU SANTO ISLAND,-15.25,166.83,,1.0,,1.5,,,,,,,,
1952.0,4.0,10.0,,,,0.0,8.0,,0.0,USA,"COLUMBIA RIVER VALLEY, WA",,,19.81,1.0,,,,,,,,,,
1926.0,8.0,30.0,11.0,38.0,12.0,3.0,1.0,7.2,0.0,GREECE,ARGOLIKOS GULF,36.5,23.3,,0.0,,,,,,,,,,
1889.0,8.0,16.0,,,,2.0,0.0,,0.0,INDONESIA,JAVA-S. JAVA,-6.05,105.92,,1.0,,1.0,,,,,,,,
1952.0,9.0,23.0,4.0,20.0,0.0,4.0,6.0,,1.0,JAPAN,MYOJINSHO SUBMARINE VOLCANO,32.1,139.85,0.05,1.0,-1.0,-1.0,,,,,,,,
1905.0,12.0,8.0,8.0,22.0,,1.0,1.0,6.5,0.0,PHILIPPINES,W. LUZON ISLAND,11.0,123.5,,1.0,-0.5,0.0,,,,,,1.0,,
1855.0,12.0,3.0,,,,1.0,1.0,7.0,0.0,JAPAN,NANKAIDO,32.5,134.5,,0.0,,,,,,,,,,
1855.0,4.0,14.0,,,,3.0,0.0,,0.0,INDONESIA,FLORES ISLAND,-9.0,121.0,,1.0,,1.0,,,,,,1.0,,
1924.0,7.0,19.0,,,,1.0,0.0,,1.0,NEW ZEALAND,CHATHAM I.,-43.95,-176.567,,1.0,,1.0,,,,,,1.0,,
1988.0,6.0,24.0,2.0,6.0,26.3,4.0,1.0,5.4,0.0,PHILIPPINES,NORTH OF LUZON ISLAND,18.606,121.013,1.03,2.0,,,,,,,,,,
1855.0,10.0,22.0,3.0,45.0,,1.0,1.0,,0.0,USA,N. CALIFORNIA,37.8,-122.4,,1.0,,0.0,,,,,,,,
1911.0,1.0,30.0,,,,4.0,6.0,,2.0,PHILIPPINES,"TAAL, LUZON ISLAND",14.002,120.993,3.0,2.0,,,1335.0,,,199.0,,3.0,543.0,
1933.0,12.0,25.0,,,,1.0,6.0,,0.0,PHILIPPINES,E. SAMAR ISLAND,12.77,124.05,,1.0,0.5,1.0,9.0,,,,,3.0,,
1811.0,12.0,16.0,14.0,15.0,,0.0,1.0,8.0,0.0,USA,AR: NE  - NEW MADRID EARTHQUAKES,35.6,-90.4,,1.0,,,,,,,,,,
1852.0,11.0,29.0,,,,3.0,1.0,7.0,0.0,MEXICO,N. MEXICO,32.5,-115.5,3.0,1.0,,1.0,,,,,,,,
2001.0,12.0,18.0,4.0,2.0,58.2,4.0,1.0,6.8,0.0,TAIWAN,TAIWAN,23.954,122.734,0.16,6.0,,,,,,,,,,
1990.0,4.0,5.0,21.0,12.0,35.5,4.0,1.0,7.5,0.0,USA TERRITORY,"MARIANA TRENCH, N. MARIANA ISLANDS",15.125,147.596,1.8,34.0,-1.0,,,,,,,,,
1860.0,3.0,17.0,,,,1.0,0.0,,0.0,MEXICO,S. MEXICO,16.7,-99.2,,1.0,,,,,,,,,,
2002.0,1.0,2.0,17.0,22.0,48.7,4.0,1.0,7.2,0.0,VANUATU,VANUATU ISLANDS,-17.6,167.856,3.0,2.0,-4.64,-4.14,,,,,,1.0,,
1977.0,4.0,20.0,23.0,42.0,50.5,4.0,1.0,7.6,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.89,160.348,,1.0,,,,,,,,1.0,,
1934.0,7.0,21.0,6.0,18.0,23.3,3.0,1.0,7.2,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.139,165.503,,3.0,,,,,,,,,,
1950.0,10.0,23.0,16.0,13.0,20.0,4.0,1.0,7.5,0.0,GUATEMALA,GUATEMALA,14.31,-91.917,0.2,5.0,-1.3,-1.0,,,,,,3.0,,
1856.0,8.0,23.0,4.0,30.0,,4.0,1.0,8.0,1.0,JAPAN,SE. HOKKAIDO ISLAND,40.5,143.5,6.0,33.0,2.6,2.0,26.0,,,,,2.0,193.0,238.0
1995.0,11.0,1.0,0.0,35.0,32.7,4.0,1.0,6.7,0.0,CHILE,NORTHERN CHILE,-28.906,-71.417,0.1,1.0,-3.3,-3.0,,,,,,,,
1951.0,8.0,21.0,10.0,57.0,0.0,4.0,1.0,6.9,0.0,USA,HAWAII,19.5,-156.0,3.6,7.0,1.8,0.5,,,,,,1.0,,
2014.0,6.0,23.0,,,,4.0,9.0,,0.0,SPAIN,MEDITERRANEAN AND BLACK SEAS,,,2.5,5.0,,,,,,15.0,,1.0,,
1907.0,1.0,14.0,20.0,38.0,12.0,4.0,1.0,6.2,0.0,JAMAICA,JAMAICA,18.667,-76.237,2.5,10.0,1.3,,1000.0,,,,30.0,4.0,,
1923.0,2.0,3.0,16.0,1.0,41.0,4.0,1.0,8.3,1.0,RUSSIA,KAMCHATKA,54.0,161.0,8.0,21.0,3.0,,3.0,,,,1.5,2.0,,
1996.0,2.0,21.0,12.0,51.0,1.3,4.0,1.0,7.5,1.0,PERU,N. PERU,-9.593,-79.587,5.04,59.0,2.3,1.9,12.0,,,57.0,,1.0,15.0,22.0
1899.0,1.0,22.0,7.0,56.0,,2.0,1.0,6.6,0.0,GREECE,IONIAN SEA,37.2,21.6,1.0,2.0,,3.0,,,,,,,,
1829.0,5.0,23.0,,,,2.0,1.0,7.3,0.0,TURKEY,CONSTANTINOPLE,41.1,24.3,,1.0,,2.0,,,,,,,,
1806.0,,,,,,2.0,0.0,,0.0,FRENCH POLYNESIA,NUKU HIVA ISLAND,-9.0,-139.0,1.5,1.0,,,,,,,,1.0,,
1977.0,4.0,20.0,23.0,13.0,10.4,4.0,1.0,6.8,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.828,163.323,0.15,6.0,-3.3,-1.0,34.0,,,,,3.0,,
1823.0,8.0,20.0,,,,2.0,1.0,,0.0,CROATIA,DUBROVNIK,,,,2.0,,4.0,,,,,,,,
1989.0,10.0,29.0,5.0,25.0,38.2,4.0,1.0,6.5,0.0,JAPAN,N. HONSHU ISLAND,39.571,143.333,0.11,4.0,,,,,,,,,,
1862.0,7.0,10.0,,,,2.0,1.0,6.5,0.0,GHANA,GOLD COAST,7.0,0.4,,1.0,,,3.0,,,,,3.0,,
1868.0,8.0,13.0,21.0,30.0,,4.0,1.0,8.5,1.0,CHILE,NORTHERN CHILE,-18.6,-71.0,18.0,123.0,4.2,3.5,25000.0,,,,300.0,4.0,,
1873.0,10.0,13.0,,,,1.0,1.0,,0.0,PANAMA,PANAMA CITY,8.96,-79.53,,2.0,,,,,,,,,,
1810.0,9.0,25.0,,,,4.0,1.0,6.6,0.0,JAPAN,NW. HONSHU ISLAND,39.9,139.9,1.0,1.0,1.0,0.0,57.0,,,,,3.0,1084.0,
1934.0,2.0,14.0,3.0,59.0,34.0,4.0,1.0,7.9,0.0,PHILIPPINES,SOUTH CHINA SEA,17.5,119.0,,1.0,,0.5,,,,,,1.0,,
1946.0,9.0,30.0,0.0,59.0,40.0,2.0,1.0,7.0,0.0,PERU,S. PERU,-14.0,-76.25,,0.0,,,,,,,,2.0,,
2008.0,8.0,8.0,,,,4.0,6.0,,0.0,USA,"KASATOCHI VOLCANO, ALEUTIAN IS, AK",52.18,-175.5,0.19,2.0,,,,,,,,,,
1907.0,7.0,25.0,,,,2.0,6.0,,0.0,SAMOA,MATAVANU VOLCANO,-13.612,-172.525,,1.0,,,,,,,,,,
1949.0,12.0,17.0,15.0,7.0,55.0,2.0,1.0,7.8,0.0,CHILE,SOUTHERN CHILE,-54.0,-71.0,,2.0,-0.5,,3.0,,,,,1.0,,
1911.0,11.0,3.0,,,,3.0,8.0,,0.0,TRINIDAD AND TOBAGO,TRINIDAD,10.5,-61.2,,1.0,,,,,,,,,,
2012.0,8.0,31.0,12.0,47.0,33.3,4.0,1.0,7.6,0.0,PHILIPPINES,PHILIPPINE ISLANDS,10.811,126.638,0.15,17.0,,,1.0,,,1.0,0.3,1.0,,
1852.0,11.0,10.0,,,,-1.0,1.0,,0.0,INDONESIA,BANDA SEA,,,,0.0,,,,,,,,,,
2014.0,11.0,15.0,2.0,32.0,12.0,3.0,1.0,7.1,0.0,INDONESIA,N. MOLUCCAS ISLANDS,1.893,126.522,0.09,3.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,2.0,15.0,17.0,7.0,43.8,-1.0,1.0,6.9,0.0,INDONESIA,SOUTHERN SUMATRA,-4.967,104.302,,0.0,,,,,,,,,,
1905.0,1.0,20.0,18.0,23.0,,2.0,1.0,6.8,0.0,COSTA RICA,GULF OF NICOYA,9.85,-84.68,,1.0,,,,,,,,1.0,,
1856.0,7.0,25.0,,,,2.0,1.0,,0.0,INDONESIA,JAVA-FLORES SEA,-8.5,116.0,,1.0,,0.0,,,,,,,,
1959.0,8.0,17.0,21.0,4.0,40.0,4.0,1.0,7.3,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,156.0,1.0,5.0,1.3,,,,,,,3.0,,
1942.0,8.0,24.0,22.0,50.0,27.0,4.0,3.0,8.2,0.0,PERU,S. PERU,-15.0,-76.0,2.0,3.0,1.0,1.0,30.0,,,25.0,,3.0,,
1894.0,11.0,21.0,,,,2.0,0.0,,0.0,ATLANTIC OCEAN,ATLANTIC OCEAN,49.0,-34.5,12.2,1.0,3.6,,,,,,,,,
1818.0,12.0,9.0,,,,2.0,1.0,,0.0,ITALY,GENOA,44.75,10.4,,1.0,,3.0,,,,,,,,
1995.0,8.0,16.0,10.0,27.0,28.6,4.0,1.0,7.7,0.0,PAPUA NEW GUINEA,SOLOMON SEA,-5.799,154.178,0.28,2.0,-1.0,-1.5,,,,,,1.0,,
1882.0,10.0,10.0,,,,3.0,1.0,7.5,0.0,INDONESIA,BANDA SEA,-4.5,129.9,,1.0,,0.5,,,,,,,,
1897.0,12.0,,,,,1.0,1.0,,0.0,GREECE,IONIAN ISLANDS,,,,0.0,,,,,,,,,,
1873.0,11.0,19.0,,,,1.0,1.0,,0.0,CHILE,NORTHERN CHILE,-23.6,-70.4,,1.0,,2.0,,,,,,,,
